Date,Valeur,Datetime,working day
2020-10-02 00:30:00,3.85,2020-10-02 00:30:00,True
2020-10-02 00:45:00,4.55,2020-10-02 00:45:00,True
2020-10-02 01:00:00,4.9,2020-10-02 01:00:00,True
2020-10-02 01:15:00,4.9,2020-10-02 01:15:00,True
2020-10-02 01:30:00,4.2,2020-10-02 01:30:00,True
2020-10-02 01:45:00,4.55,2020-10-02 01:45:00,True
2020-10-02 02:00:00,4.2,2020-10-02 02:00:00,True
2020-10-02 02:15:00,3.85,2020-10-02 02:15:00,True
2020-10-02 02:30:00,4.55,2020-10-02 02:30:00,True
2020-10-02 02:45:00,4.55,2020-10-02 02:45:00,True
2020-10-02 03:00:00,3.85,2020-10-02 03:00:00,True
2020-10-02 03:15:00,4.55,2020-10-02 03:15:00,True
2020-10-02 03:30:00,4.55,2020-10-02 03:30:00,True
2020-10-02 03:45:00,4.2,2020-10-02 03:45:00,True
2020-10-02 04:00:00,3.85,2020-10-02 04:00:00,True
2020-10-02 04:15:00,4.9,2020-10-02 04:15:00,True
2020-10-02 04:30:00,4.55,2020-10-02 04:30:00,True
2020-10-02 04:45:00,3.85,2020-10-02 04:45:00,True
2020-10-02 05:00:00,4.55,2020-10-02 05:00:00,True
2020-10-02 05:15:00,4.9,2020-10-02 05:15:00,True
2020-10-02 05:30:00,3.85,2020-10-02 05:30:00,True
2020-10-02 05:45:00,4.55,2020-10-02 05:45:00,True
2020-10-02 06:00:00,4.9,2020-10-02 06:00:00,True
2020-10-02 06:15:00,4.9,2020-10-02 06:15:00,True
2020-10-02 06:30:00,4.2,2020-10-02 06:30:00,True
2020-10-02 06:45:00,7.35,2020-10-02 06:45:00,True
2020-10-02 07:00:00,7.7,2020-10-02 07:00:00,True
2020-10-02 07:15:00,8.4,2020-10-02 07:15:00,True
2020-10-02 07:30:00,9.1,2020-10-02 07:30:00,True
2020-10-02 07:45:00,9.45,2020-10-02 07:45:00,True
2020-10-02 08:00:00,9.1,2020-10-02 08:00:00,True
2020-10-02 08:15:00,8.75,2020-10-02 08:15:00,True
2020-10-02 08:30:00,9.1,2020-10-02 08:30:00,True
2020-10-02 08:45:00,8.75,2020-10-02 08:45:00,True
2020-10-02 09:00:00,9.1,2020-10-02 09:00:00,True
2020-10-02 09:15:00,9.1,2020-10-02 09:15:00,True
2020-10-02 09:30:00,8.75,2020-10-02 09:30:00,True
2020-10-02 09:45:00,8.05,2020-10-02 09:45:00,True
2020-10-02 10:00:00,7.35,2020-10-02 10:00:00,True
2020-10-02 10:15:00,7.7,2020-10-02 10:15:00,True
2020-10-02 10:30:00,8.4,2020-10-02 10:30:00,True
2020-10-02 10:45:00,8.05,2020-10-02 10:45:00,True
2020-10-02 11:00:00,6.65,2020-10-02 11:00:00,True
2020-10-02 11:15:00,7.35,2020-10-02 11:15:00,True
2020-10-02 11:30:00,8.05,2020-10-02 11:30:00,True
2020-10-02 11:45:00,6.65,2020-10-02 11:45:00,True
2020-10-02 12:00:00,6.65,2020-10-02 12:00:00,True
2020-10-02 12:15:00,7.7,2020-10-02 12:15:00,True
