Datetime,Valeur
2019-12-02 05:45:00,5.88
2019-12-02 06:00:00,5.67
2019-12-02 06:15:00,6.51
2019-12-02 06:30:00,7.98
2019-12-02 06:45:00,13.23
2019-12-02 07:00:00,15.75
2019-12-02 07:15:00,15.12
2019-12-02 07:30:00,14.7
2019-12-02 07:45:00,16.8
2019-12-02 08:00:00,16.17
2019-12-02 08:15:00,18.06
2019-12-02 08:30:00,17.64
2019-12-02 08:45:00,21.63
2019-12-02 09:00:00,21.63
2019-12-02 09:15:00,18.9
2019-12-02 09:30:00,21.84
2019-12-02 09:45:00,17.64
2019-12-02 10:00:00,19.11
2019-12-02 10:15:00,17.43
2019-12-02 10:30:00,18.69
2019-12-02 10:45:00,19.74
2019-12-02 11:00:00,17.85
2019-12-02 11:15:00,18.69
2019-12-02 11:30:00,18.9
2019-12-02 11:45:00,23.94
2019-12-02 12:00:00,21.84
2019-12-02 12:15:00,19.74
2019-12-02 12:30:00,18.48
2019-12-02 12:45:00,17.22
2019-12-02 13:00:00,21.84
2019-12-02 13:15:00,20.16
2019-12-02 13:30:00,21.21
2019-12-02 13:45:00,18.27
2019-12-02 14:00:00,15.12
2019-12-02 14:15:00,12.81
2019-12-02 14:30:00,11.97
2019-12-02 14:45:00,11.76
2019-12-02 15:00:00,11.34
2019-12-02 15:15:00,11.55
2019-12-02 15:30:00,11.55
2019-12-02 15:45:00,11.13
2019-12-02 16:00:00,11.13
2019-12-02 16:15:00,10.92
2019-12-02 16:30:00,10.71
2019-12-02 16:45:00,10.92
2019-12-02 17:00:00,10.71
2019-12-02 17:15:00,10.92
2019-12-02 17:30:00,9.87
2019-12-02 17:45:00,10.5
2019-12-02 18:00:00,10.5
2019-12-02 18:15:00,10.5
2019-12-02 18:30:00,9.45
2019-12-02 18:45:00,8.61
2019-12-02 19:00:00,9.24
2019-12-02 19:15:00,8.19
2019-12-02 19:30:00,7.14
2019-12-02 19:45:00,7.14
2019-12-02 20:00:00,6.93
2019-12-02 20:15:00,7.14
2019-12-02 20:30:00,6.93
2019-12-02 20:45:00,7.35
2019-12-02 21:00:00,6.93
2019-12-02 21:15:00,7.35
2019-12-02 21:30:00,6.93
2019-12-02 21:45:00,6.93
